index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,2.8765432098765427,112.03703703703708,9.31111111111111,2.086976537964751,False
1,3.0,200.0,17.5,True,3.6000000000000005,133.33333333333348,18.666666666666657,0.7740150323233339,False
2,3.25,150.0,13.25,True,3.4217399364716465,124.62211928310951,13.527320676736718,0.002110295500259471,True
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,3.105203213115379,146.4022967154397,21.78280404568665,1.3003251306533186,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.541666666666667,142.36111111111114,18.569444444444436,0.7460458676398152,False
7,2.625,225.0,15.375,True,2.625,225.0,15.375,,False
8,2.6875,162.5,24.9375,True,3.689321844993149,132.37397119341568,15.848482510288092,0.1514127966262444,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,4.155807041609506,111.16255144032914,17.02107338820305,4.418258445789139,False
11,2.9375,212.5,12.1875,True,3.421741115529912,124.62206803020115,13.527316403574593,0.002110295499823986,True
12,2.8125,137.5,14.3125,True,3.4217392666851527,124.6220547388592,13.527304359479684,0.002110295499765703,True
13,3.3125,237.5,22.8125,True,3.3125,237.5,22.8125,,False
14,3.0625,187.5,10.0625,True,3.266666666666663,125.0,12.075000000000005,0.256139715279777,False
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,3.1516375171467814,138.96047668038392,17.811368312757196,0.5212559885794518,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.421740778753814,124.62210662519857,13.527322089446582,0.002110295498229605,True
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,3.364583333333333,140.52083333333331,17.118750000000013,0.4819475567194087,False
21,3.46875,218.75,14.84375,True,3.46875,218.75,14.84375,,False
22,3.21875,168.75,19.09375,True,3.425496184842248,147.42476851851853,20.96449224108369,0.7938194638103291,False
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.421739151712633,124.6221011899816,13.527317432115243,0.002110295499692299,True
25,3.15625,231.25,9.53125,True,3.15625,231.25,9.53125,,False
26,3.40625,181.25,22.28125,True,3.628660836762688,147.66343021262009,25.20432688185872,1.2845643710389198,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.208166152263373,121.75282921810692,12.171907150205763,0.3248149890654646,False
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,3.143830375514404,123.8708847736626,12.654632844650202,0.1223632223255363,False
31,2.53125,206.25,24.40625,True,3.2296875,144.75694444444457,23.005150462962945,1.5436424823496369,False
