index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,2.502604166666667,102.1875,8.784375,3.167882782244803,False
1,3.0,200.0,17.5,True,3.6160493827160503,237.1193415637861,13.09979423868312,0.2542521980298093,False
2,3.25,150.0,13.25,True,3.97222222222222,182.5,8.980555555555553,0.05814257697547,False
3,2.75,250.0,21.75,True,3.4782407407407376,272.067901234568,14.634259259259244,0.5261947846103348,False
4,2.875,175.0,19.625,True,3.1804132908950606,173.74083719135797,19.46713686342592,164.33811596503662,False
5,3.375,275.0,11.125,True,4.004820555095348,245.0716882884043,13.99559633411522,0.0037444684676861397,True
6,3.125,125.0,23.875,True,3.0266203703703702,154.70679012345676,17.47885802469135,3.1733093643114154,False
7,2.625,225.0,15.375,True,3.1813271604938276,242.80864197530855,12.285236625514404,1.316905146755761,False
8,2.6875,162.5,24.9375,True,2.747844328703704,173.521412037037,22.13780381944444,3.165925130260124,False
9,3.1875,262.5,16.4375,True,4.004820540991641,245.07168262625527,13.995596164583613,0.0037444684676953884,True
10,3.4375,112.5,20.6875,True,3.151041666666667,143.125,14.9409722222222,3.173836546266797,False
11,2.9375,212.5,12.1875,True,4.072608024691357,198.5082304526751,9.544367283950637,0.0376308269683445,False
12,2.8125,137.5,14.3125,True,2.8271484375,141.08072916666669,14.188259548611114,3.1675207025214953,False
13,3.3125,237.5,22.8125,True,3.9293338477366273,280.1131687242797,16.935699588477362,0.1248567368241718,False
14,3.0625,187.5,10.0625,True,3.822453703703704,182.17592592592587,9.006558641975307,0.1622899217002839,False
15,2.5625,287.5,18.5625,True,4.161689814814823,251.2962962962963,12.168750000000031,0.4194455180909582,False
16,2.59375,193.75,16.96875,True,3.467939814814823,231.7824074074074,12.467708333333338,0.5395740652668018,False
17,3.09375,293.75,25.46875,True,4.361805555555558,284.26054526748976,19.38978909465021,0.1265911220851827,False
18,3.34375,143.75,12.71875,True,6.2045138888888935,212.43055555555551,11.517534722222171,1.0123329046007183,False
19,2.84375,243.75,21.21875,True,3.42127700617284,267.97453703703707,16.372492283950617,0.6135777166419666,False
20,2.96875,118.75,23.34375,True,2.721354166666667,151.07638888888886,16.85937500000002,3.176672165240974,False
21,3.46875,218.75,14.84375,True,4.004820410883962,245.0717017345172,13.995598467035665,0.0037444684677436207,True
22,3.21875,168.75,19.09375,True,3.6607210219478734,228.72685185185185,16.58720421810702,4.848535785565807,False
23,2.71875,268.75,10.59375,True,4.0048206097369246,245.07175984405507,13.995604783039955,0.003744468467690446,True
24,2.65625,131.25,18.03125,True,2.7706163194444455,146.015625,15.35160590277778,3.170894279206803,False
25,3.15625,231.25,9.53125,True,3.805034722222224,210.69444444444449,10.325520833333329,0.0403506181030716,False
26,3.40625,181.25,22.28125,True,3.87396690672154,245.66958161865543,19.356262860082253,2.7966923876723797,False
27,2.90625,281.25,13.78125,True,4.0077546296296305,225.52083333333331,12.53923611111109,0.0510523858530804,False
28,2.78125,156.25,11.65625,True,3.352379115226335,185.24948559670776,8.940625000000002,1.0130418433620043,False
29,3.28125,256.25,20.15625,True,4.00482047508577,245.0717083003919,13.995598506752916,0.003744468467695673,True
30,3.03125,106.25,15.90625,True,3.220235339506174,125.99151234567906,12.008236882716044,3.175454808993292,False
31,2.53125,206.25,24.40625,True,3.1078125000000023,262.39583333333337,14.914930555555513,1.9585201831520471,False
