index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,1.722222222222218,106.66666666666674,9.79999999999999,3.4596398930228305,False
1,3.0,200.0,17.5,True,3.7666666666666697,237.77777777777783,12.638888888888886,0.1018489442396174,False
2,3.25,150.0,13.25,True,3.9240740740740705,190.83333333333331,8.73518518518518,0.0979229149231436,False
3,2.75,250.0,21.75,True,4.141975308641973,280.81275720164604,14.303086419753072,0.983135628525658,False
4,2.875,175.0,19.625,True,3.1804132908950606,173.74083719135797,19.46713686342592,164.98615152406606,False
5,3.375,275.0,11.125,True,4.009259656018122,238.49381698341716,13.278587275953189,0.004740048808879446,True
6,3.125,125.0,23.875,True,1.527777777777782,163.88888888888857,25.599305555555503,3.4996328655829725,False
7,2.625,225.0,15.375,True,3.9537037037037006,252.7314814814813,10.110802469135798,1.582450643224779,False
8,2.6875,162.5,24.9375,True,1.5188614540466403,188.5245198902606,28.168428497942415,3.443048675003239,False
9,3.1875,262.5,16.4375,True,4.009259513063757,238.49381632831768,13.278586429246818,0.004740048808902167,True
10,3.4375,112.5,20.6875,True,1.871527777777774,148.125,22.64131944444444,3.5597320864252713,False
11,2.9375,212.5,12.1875,True,3.6990740740740744,217.35339506172852,10.983796296296305,0.1185535948917853,False
12,2.8125,137.5,14.3125,True,1.505208333333333,142.84722222222229,18.155671296296298,3.5156434053517907,False
13,3.3125,237.5,22.8125,True,4.009079218106997,264.71965020576124,17.358153292181065,0.0503240090065001,False
14,3.0625,187.5,10.0625,True,3.6409722222222216,193.40277777777783,9.24259259259259,0.1752835678832728,False
15,2.5625,287.5,18.5625,True,3.9687114197530944,216.15740740740745,11.870833333333326,0.1551743767752287,False
16,2.59375,193.75,16.96875,True,3.3718750000000064,242.1875,10.181249999999984,2.245209716023519,False
17,3.09375,293.75,25.46875,True,4.210937500000002,280.6944444444448,18.67708333333337,0.123047835874553,False
18,3.34375,143.75,12.71875,True,6.2045138888888935,212.43055555555551,11.517534722222171,1.4577953369182757,False
19,2.84375,243.75,21.21875,True,4.0092594390390985,238.4937687137886,13.27858187487336,0.004740048808866014,True
20,2.96875,118.75,23.34375,True,1.616319444444442,156.35416666666652,25.548437499999963,3.512915186421726,False
21,3.46875,218.75,14.84375,True,4.009259263116256,238.4937688731726,13.278582249426282,0.004740048808996985,True
22,3.21875,168.75,19.09375,True,3.6607210219478734,228.72685185185185,16.58720421810702,5.039506114974854,False
23,2.71875,268.75,10.59375,True,3.451768261316875,207.12920096021944,9.794495884773674,0.4769664568623382,False
24,2.65625,131.25,18.03125,True,1.6822916666666687,164.0625,19.53385416666665,3.448303387857857,False
25,3.15625,231.25,9.53125,True,4.009259985176993,238.49380918625548,13.278587021369939,0.0047400488090751204,True
26,3.40625,181.25,22.28125,True,3.87396690672154,245.66958161865543,19.356262860082253,3.000293542149017,False
27,2.90625,281.25,13.78125,True,3.808822016460903,255.94135802469128,14.6291087962963,0.1426010903382515,False
28,2.78125,156.25,11.65625,True,3.352379115226335,185.24948559670776,8.940625000000002,1.0310274471892291,False
29,3.28125,256.25,20.15625,True,3.982060185185185,268.5352366255146,17.684413580246922,0.0593930925523898,False
30,3.03125,106.25,15.90625,True,1.6503472222222155,139.89583333333346,17.408506944444447,3.4919437970203786,False
31,2.53125,206.25,24.40625,True,3.0375000000000014,257.8125,14.643749999999956,3.888025260306165,False
