index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.662037037037036,129.4444444444443,7.0,0.6795547137087261,False
1,3.0,200.0,17.5,True,3.6981481481481486,193.20987654320987,16.39814814814816,0.0301131510567224,False
2,3.25,150.0,13.25,True,3.6686248712377054,172.84894661230834,13.367881277569516,0.003106309718774691,True
3,2.75,250.0,21.75,True,3.5003086419753044,211.41975308641983,23.28055555555556,0.1689727418472533,False
4,2.875,175.0,19.625,True,3.5292695473251054,192.6560356652948,17.18870027434844,0.053142377976113,False
5,3.375,275.0,11.125,True,3.906249999999998,163.98148148148152,12.979166666666654,0.0704009277862588,False
6,3.125,125.0,23.875,True,3.071771315586421,125.67756558641976,23.7630859375,3.177944931822786,False
7,2.625,225.0,15.375,True,3.649074074074072,190.55555555555569,17.282638888888865,0.034586290601701,False
8,2.6875,162.5,24.9375,True,3.5385416666666685,205.83333333333348,21.61249999999999,0.1417088509706089,False
9,3.1875,262.5,16.4375,True,3.730555555555558,194.4444444444445,17.046296296296298,0.0193364337273965,False
10,3.4375,112.5,20.6875,True,3.484429327893995,117.76593578532238,20.1064917516861,3.177999709468267,False
11,2.9375,212.5,12.1875,True,3.427083333333332,177.08333333333326,12.390625,0.1694953591535302,False
12,2.8125,137.5,14.3125,True,3.179976851851852,163.6985596707819,11.102494855967066,0.3701940638823479,False
13,3.3125,237.5,22.8125,True,3.6634212820073175,214.66085105166897,23.7561103252172,0.0332928003837756,False
14,3.0625,187.5,10.0625,True,3.5970196759259228,147.48263888888886,10.435185185185183,0.0444057082481074,False
15,2.5625,287.5,18.5625,True,3.2607724622770973,196.0836762688612,18.38425925925923,0.5164824960391455,False
16,2.59375,193.75,16.96875,True,3.4412551440329286,183.98276748971193,16.479938271604926,0.3256775247791157,False
17,3.09375,293.75,25.46875,True,3.5234374999999987,228.47222222222217,27.73263888888888,0.0832735233749559,False
18,3.34375,143.75,12.71875,True,3.668624854852447,172.84896750334136,13.367883821949977,0.003106309718795039,True
19,2.84375,243.75,21.21875,True,3.812731481481483,214.86111111111103,23.22274305555555,0.0310366132543511,False
20,2.96875,118.75,23.34375,True,2.9819597157921804,124.01861496913584,22.99851707175926,3.1785440068809976,False
21,3.46875,218.75,14.84375,True,3.6686249141074647,172.84894774841717,13.367881782341698,0.0031063097187840087,True
22,3.21875,168.75,19.09375,True,3.5406249999999986,189.375,16.44184027777778,0.0422992653825502,False
23,2.71875,268.75,10.59375,True,3.421093750000004,163.24074074074082,11.584461805555566,0.0729761462439163,False
24,2.65625,131.25,18.03125,True,3.1727430555555625,174.27083333333326,11.620138888888937,0.4834092350770875,False
25,3.15625,231.25,9.53125,True,3.6686247510223104,172.8489900367691,13.367887734274802,0.003106309718781975,True
26,3.40625,181.25,22.28125,True,3.6961476068872416,199.99315449059657,18.72167770440091,0.009184875021303954,True
27,2.90625,281.25,13.78125,True,3.632812499999997,178.125,14.92968749999999,0.0519408765693231,False
28,2.78125,156.25,11.65625,True,3.291145833333333,166.66666666666663,10.879166666666656,0.2960137918557918,False
29,3.28125,256.25,20.15625,True,3.678240740740741,211.48533950617292,21.47511574074074,0.0202341250268205,False
30,3.03125,106.25,15.90625,True,3.0827064043209886,107.5617283950617,16.39718364197531,3.1776953043346308,False
31,2.53125,206.25,24.40625,True,3.2218750000000025,213.6342592592593,20.760378086419728,0.4229536563795009,False
