index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.3456790123456788,122.22222222222211,7.0,0.4222061931585392,False
1,3.0,200.0,17.5,True,3.679629629629628,178.14814814814827,15.2098765432099,0.0726113413628767,False
2,3.25,150.0,13.25,True,3.676797343251943,169.4160135738822,12.892871815460857,0.0038049754157412625,True
3,2.75,250.0,21.75,True,3.457430269775948,199.6113397347964,21.34821673525379,0.9233302632549468,False
4,2.875,175.0,19.625,True,3.5937500000000018,183.7499999999999,15.70000000000001,0.0654900238071575,False
5,3.375,275.0,11.125,True,4.246874999999996,167.03703703703712,12.165393518518515,0.3581113297098827,False
6,3.125,125.0,23.875,True,1.3671875000000036,129.6875,28.35156250000003,3.4733675029173123,False
7,2.625,225.0,15.375,True,3.1622427983539105,192.51543209876544,15.000643004115217,1.2330648844344088,False
8,2.6875,162.5,24.9375,True,3.5385416666666685,205.83333333333348,21.61249999999999,0.2798090498632388,False
9,3.1875,262.5,16.4375,True,3.873096707818933,188.26903292181072,17.253737997256515,0.0601873047846248,False
10,3.4375,112.5,20.6875,True,1.4641203703703676,126.4583333333334,27.54502314814811,3.4729926353991525,False
11,2.9375,212.5,12.1875,True,3.551527491998169,169.64048925468666,12.014188957475994,0.0946811297850143,False
12,2.8125,137.5,14.3125,True,3.5277777777777786,160.75617283950612,10.213117283950602,0.2841659972885698,False
13,3.3125,237.5,22.8125,True,3.838427533436218,210.4574974279836,23.473757394547334,0.1209131402089369,False
14,3.0625,187.5,10.0625,True,3.521664951989023,149.80066872427986,10.394120799039785,0.0424143227409599,False
15,2.5625,287.5,18.5625,True,3.04652777777778,214.02777777777771,19.593749999999982,2.8138744941138634,False
16,2.59375,193.75,16.96875,True,3.525578703703707,174.37499999999966,13.10364583333332,0.0690648121762801,False
17,3.09375,293.75,25.46875,True,3.620833333333332,217.59259259259255,26.41203703703703,0.2918158582379027,False
18,3.34375,143.75,12.71875,True,3.6767971440165654,169.41586877509212,12.89285026361417,0.003804975415087573,True
19,2.84375,243.75,21.21875,True,3.5897955246913575,201.0185185185186,19.712480709876516,0.1538091578560577,False
20,2.96875,118.75,23.34375,True,1.3573173868312791,129.769804526749,29.967418981481465,3.483918002902984,False
21,3.46875,218.75,14.84375,True,3.676796925865264,169.41587983974415,12.892852066071637,0.0038049754150741833,True
22,3.21875,168.75,19.09375,True,3.6767973724322482,169.41589768721528,12.892854333369558,0.003804975415105807,True
23,2.71875,268.75,10.59375,True,3.3984375000000036,154.28240740740745,11.849305555555569,0.5832724596002432,False
24,2.65625,131.25,18.03125,True,3.277681327160498,162.9282407407407,12.733179012345715,0.7063896328827274,False
25,3.15625,231.25,9.53125,True,3.676797337742965,169.41590280240456,12.892855204296222,0.003804975415048978,True
26,3.40625,181.25,22.28125,True,3.7566872427983538,200.24519890260635,19.04985746742112,0.0612813649829785,False
27,2.90625,281.25,13.78125,True,3.439062499999997,187.5,15.618749999999991,0.2233936013828328,False
28,2.78125,156.25,11.65625,True,3.4559606481481486,147.8587962962963,10.23159722222221,0.0876118800414748,False
29,3.28125,256.25,20.15625,True,3.7579464591906726,205.4672139346137,21.032613704561044,0.0863054561350033,False
30,3.03125,106.25,15.90625,True,2.5702473958333307,114.8828125,19.319466145833346,3.788188810718424,False
31,2.53125,206.25,24.40625,True,3.6281250000000034,194.7916666666668,16.542013888888846,0.1618230079748066,False
