index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.24897119341564,91.76954732510282,9.494444444444447,0.2418000291208741,False
1,3.0,200.0,17.5,True,3.0,200.0,17.5,,False
2,3.25,150.0,13.25,True,3.8953189300411504,105.40123456790128,14.138786008230449,0.0544845167859296,False
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,3.6623627042166396,116.66186758125036,16.809791690136205,0.0019330717012303444,True
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.616898148148149,124.53703703703708,20.78009259259258,0.0262685212513091,False
7,2.625,225.0,15.375,True,2.625,225.0,15.375,,False
8,2.6875,162.5,24.9375,True,3.6990345305442345,133.33136535921824,24.879241584481974,0.007532918153911004,True
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,3.6623792699974547,116.6618543440685,16.80980598009912,0.001933070610731353,True
11,2.9375,212.5,12.1875,True,2.9375,212.5,12.1875,,False
12,2.8125,137.5,14.3125,True,3.5428240740740744,105.82690329218116,13.593930041152255,0.0279283948594391,False
13,3.3125,237.5,22.8125,True,3.3125,237.5,22.8125,,False
14,3.0625,187.5,10.0625,True,3.87916666666666,97.91666666666666,11.460069444444448,0.0873631947291409,False
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,3.242187500000006,122.70833333333314,18.3828125,0.3197589000183619,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.691885288065846,106.8659979423868,14.23139146090534,0.0167794930565775,False
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,3.513020833333334,124.68750000000011,19.453125,0.0345822220191048,False
21,3.46875,218.75,14.84375,True,3.46875,218.75,14.84375,,False
22,3.21875,168.75,19.09375,True,3.767129629629629,125.0,19.800925925925934,0.0223047189511703,False
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.6588908446329813,115.19324905498632,16.295297286698652,0.0018940085304394397,True
25,3.15625,231.25,9.53125,True,3.15625,231.25,9.53125,,False
26,3.40625,181.25,22.28125,True,3.985795324645633,128.58224737082773,24.068742141060813,0.0810899562668455,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.3374999999999986,104.16666666666656,12.433333333333335,0.1216692491779654,False
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,3.65889023899925,115.1931159655914,16.295251872595262,0.0018940085297330799,True
31,2.53125,206.25,24.40625,True,2.53125,206.25,24.40625,,False
