index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.6224583964042747,101.64436670574904,12.39418072002065,0.016367565765027313,True
1,3.0,200.0,17.5,True,3.0,200.0,17.5,,False
2,3.25,150.0,13.25,True,3.37037037037037,111.11111111111111,15.507407407407412,0.5181424713364414,False
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,2.875,175.0,19.625,,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.5470170959711425,124.09376111365135,21.77442939338516,1.237786995813043,False
7,2.625,225.0,15.375,True,2.625,225.0,15.375,,False
8,2.6875,162.5,24.9375,True,3.4414008916323757,124.27126200274353,24.75961934156379,1.8137593319177103,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,3.8671875,115.3125,18.1015625,0.7473926575379584,False
11,2.9375,212.5,12.1875,True,2.9375,212.5,12.1875,,False
12,2.8125,137.5,14.3125,True,3.6257663081053257,103.33490361421235,12.91153145250171,0.01687668694208561,True
13,3.3125,237.5,22.8125,True,3.3125,237.5,22.8125,,False
14,3.0625,187.5,10.0625,True,3.0625,187.5,10.0625,,False
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,2.59375,193.75,16.96875,,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.6256961061673483,103.33485257822255,12.911324250808622,0.016876694028061377,True
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,3.4183837258039924,123.41601889955794,18.88011616941016,1.291443304562853,False
21,3.46875,218.75,14.84375,True,3.46875,218.75,14.84375,,False
22,3.21875,168.75,19.09375,True,3.21875,168.75,19.09375,,False
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.364036779835395,117.80092592592592,17.660236625514422,0.8921639837692343,False
25,3.15625,231.25,9.53125,True,3.15625,231.25,9.53125,,False
26,3.40625,181.25,22.28125,True,3.40625,181.25,22.28125,,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.622458975938409,101.64441169173892,12.394191705110643,0.016367565762933432,True
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,3.6257057636928565,103.33479631985259,12.911100014261837,0.016876705232170882,True
31,2.53125,206.25,24.40625,True,2.53125,206.25,24.40625,,False
