index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.6737285564747957,105.8318325071771,13.569349841773784,0.00713912592727909,True
1,3.0,200.0,17.5,True,3.0,200.0,17.5,,False
2,3.25,150.0,13.25,True,3.962860082304525,104.96913580246915,13.997016460905344,0.1051508423595552,False
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,3.658427640603568,119.35528120713306,19.43655692729768,0.1116238607277875,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.673729208074657,105.8318835767042,13.56936705775278,0.0071391259273290465,True
7,2.625,225.0,15.375,True,2.625,225.0,15.375,,False
8,2.6875,162.5,24.9375,True,3.258179012345682,132.65817901234567,26.00734953703703,1.1494526627681136,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,3.7585943926424226,116.6608498042304,17.299648328597115,0.024446753876590302,True
11,2.9375,212.5,12.1875,True,2.9375,212.5,12.1875,,False
12,2.8125,137.5,14.3125,True,3.5277777777777786,105.45910493827164,13.937017746913575,0.0938625140204682,False
13,3.3125,237.5,22.8125,True,3.3125,237.5,22.8125,,False
14,3.0625,187.5,10.0625,True,3.87916666666666,97.91666666666666,11.460069444444448,0.1132244627144752,False
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,3.2638020833333403,117.68518518518498,18.55564236111111,0.8542623828185301,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.913425925925927,106.48148148148144,13.189814814814806,0.1200606016563533,False
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,3.98398919753086,118.11471193415628,18.85752314814814,0.0922168355249007,False
21,3.46875,218.75,14.84375,True,3.46875,218.75,14.84375,,False
22,3.21875,168.75,19.09375,True,3.673729892411237,105.83188969711611,13.569366790174207,0.007139125927110521,True
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.571909293552814,121.47376543209884,17.62437199931415,0.204091530952266,False
25,3.15625,231.25,9.53125,True,3.15625,231.25,9.53125,,False
26,3.40625,181.25,22.28125,True,4.007600308641973,133.47608024691368,23.86294367283951,0.1929207780118006,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.3374999999999986,104.16666666666656,12.433333333333335,0.2178327109460372,False
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,3.673729693522915,105.83185605719927,13.569360947642213,0.007139125928141166,True
31,2.53125,206.25,24.40625,True,2.53125,206.25,24.40625,,False
