index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.708333333333325,75.0,7.199999999999985,0.0785098500760888,False
1,3.0,200.0,17.5,True,3.692961213468486,126.290468822749,17.891544975275,0.0015349985790596382,True
2,3.25,150.0,13.25,True,3.68942018579955,124.9971515313998,17.408198798061484,0.0015409541162573798,True
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,3.3648148148148165,138.37962962962962,20.351851851851865,0.1879257823476695,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.5435956790123457,134.15637860082302,20.740792181069956,0.0349732242247644,False
7,2.625,225.0,15.375,True,2.625,225.0,15.375,,False
8,2.6875,162.5,24.9375,True,3.522136488340192,147.8772290809328,26.471720679012343,0.0870704016441196,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,3.692961039404487,126.29044608493665,17.891531880884685,0.0015349985787633004,True
11,2.9375,212.5,12.1875,True,2.9375,212.5,12.1875,,False
12,2.8125,137.5,14.3125,True,3.5798611111111116,116.28086419753096,15.319675925925935,0.0779459817057718,False
13,3.3125,237.5,22.8125,True,3.3125,237.5,22.8125,,False
14,3.0625,187.5,10.0625,True,3.87916666666666,97.91666666666666,11.460069444444448,0.1108915773831631,False
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,3.2229745370370413,134.90740740740722,17.031597222222224,0.4709626883020149,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.525768032693188,120.30887417123913,14.326076942586866,0.0703045840782826,False
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,3.692961192661393,126.29039295473855,17.891511907627162,0.0015349985787319032,True
21,3.46875,218.75,14.84375,True,3.46875,218.75,14.84375,,False
22,3.21875,168.75,19.09375,True,3.692961106263277,126.2904393136075,17.891529452469427,0.0015349985787282078,True
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.794903120713312,121.50977366255135,15.764358281893024,0.033014685520311,False
25,3.15625,231.25,9.53125,True,3.15625,231.25,9.53125,,False
26,3.40625,181.25,22.28125,True,3.8513052983539087,140.50604423868322,23.81022055041152,0.0448022929796125,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.5246334876543184,104.3595679012344,12.181500771604943,0.1053672476874741,False
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,3.422942386831277,117.39240397805212,14.352717764060358,0.0785065271681642,False
31,2.53125,206.25,24.40625,True,3.221006944444446,140.6687242798355,24.171896433470497,0.5213547072459878,False
