index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.0497256515775004,93.31275720164618,7.835185185185177,1.379219076059264,False
1,3.0,200.0,17.5,True,3.0,200.0,17.5,,False
2,3.25,150.0,13.25,True,3.6601590267492305,110.75780466744709,13.158208543080839,0.028790130609183076,True
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,3.48726851851852,127.037037037037,20.896990740740748,1.2577678456429249,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.7618955761316855,124.9356995884774,18.404873971193396,0.7275230911456322,False
7,2.625,225.0,15.375,True,2.625,225.0,15.375,,False
8,2.6875,162.5,24.9375,True,3.3737525720164614,130.66872427983566,23.444328703703697,1.8363173650836608,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,3.685763888888888,122.29166666666666,18.0824074074074,0.6791981091305034,False
11,2.9375,212.5,12.1875,True,2.9375,212.5,12.1875,,False
12,2.8125,137.5,14.3125,True,3.6539349595142294,110.75788653735471,13.152523143026922,0.028738920722200904,True
13,3.3125,237.5,22.8125,True,3.3125,237.5,22.8125,,False
14,3.0625,187.5,10.0625,True,3.0625,187.5,10.0625,,False
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,2.59375,193.75,16.96875,,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.653888343418778,110.7578906487127,13.152263455047322,0.028738927644232103,True
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,3.4226144547325097,131.85485253772293,20.023109567901233,1.2193128900594026,False
21,3.46875,218.75,14.84375,True,3.46875,218.75,14.84375,,False
22,3.21875,168.75,19.09375,True,3.904224537037036,122.5,20.33130787037038,1.0614189510592706,False
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.645492436738495,110.75843396209976,13.128257228610785,0.02880916739727507,True
25,3.15625,231.25,9.53125,True,3.15625,231.25,9.53125,,False
26,3.40625,181.25,22.28125,True,3.40625,181.25,22.28125,,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.539131087105622,106.56721536351152,12.881035665294934,0.5382104915687554,False
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,3.647248785021015,108.95553793599319,12.604601466831856,0.027767969368802894,True
31,2.53125,206.25,24.40625,True,2.53125,206.25,24.40625,,False
