index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.4763374485596668,93.45679012345678,8.809259259259253,0.2129478176200356,False
1,3.0,200.0,17.5,True,3.5500000000000007,133.33333333333348,19.83333333333333,0.0990657057302483,False
2,3.25,150.0,13.25,True,3.6306052130952695,115.69822923954598,14.201383840765205,0.026224328519562627,True
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,3.536959876543212,127.25308641975306,19.455401234567915,0.1801336969089826,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.790509259259258,131.86728395061726,20.92746913580246,0.0601910044796066,False
7,2.625,225.0,15.375,True,2.625,225.0,15.375,,False
8,2.6875,162.5,24.9375,True,3.54812671467764,147.409122085048,26.671836419753085,0.2588525036721572,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,3.6853964648034054,124.99347698171954,17.285016615694403,0.030410169932079862,True
11,2.9375,212.5,12.1875,True,2.9375,212.5,12.1875,,False
12,2.8125,137.5,14.3125,True,3.48263888888889,115.94135802469135,15.213657407407414,0.1901334553767591,False
13,3.3125,237.5,22.8125,True,3.3125,237.5,22.8125,,False
14,3.0625,187.5,10.0625,True,3.87916666666666,97.91666666666666,11.460069444444448,0.2914617842164283,False
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,3.3286458333333364,129.16666666666652,16.26171875,0.4765332709085667,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.8081597222222223,111.80555555555554,13.849305555555546,0.0853383122091437,False
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,3.68520089361317,124.9934378137311,17.282863633527786,0.03041030542906231,True
21,3.46875,218.75,14.84375,True,3.46875,218.75,14.84375,,False
22,3.21875,168.75,19.09375,True,3.647916666666666,133.59375,20.207552083333347,0.0570699126145669,False
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.790348508230456,110.50925925925928,12.896424897119378,0.0813233285383999,False
25,3.15625,231.25,9.53125,True,3.15625,231.25,9.53125,,False
26,3.40625,181.25,22.28125,True,3.879340277777776,140.97222222222229,24.26180555555556,0.1071609400457345,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.630605608173058,115.6981466382359,14.20136038654354,0.026224328518987646,True
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,3.6306058000691417,115.69822116810555,14.201380663117197,0.026224328518703627,True
31,2.53125,206.25,24.40625,True,3.0953125000000004,147.68518518518516,24.511709104938276,1.7584327276490197,False
